index,question,sentence
4965,When did the Arab oil producers lift the embargo?,Arab oil producers linked any future policy changes to peace between the belligerents.
325,Approximately how many paintings comprise the museum's collections of South and South-East Asian art?,"The Jawaharlal Nehru gallery of Indian art, opened in 1991, contains art from about 500 BC to the 19th century."
4319,In what year did Dewar experiment on liquid oxygen?,In 1891 Scottish chemist James Dewar was able to produce enough liquid oxygen to study.
1073,What type of soil is considered a product of soil management by indigenous peoples in the Amazon Forest?,"The development of this fertile soil allowed agriculture and silviculture in the previously hostile environment; meaning that large portions of the Amazon rainforest are probably the result of centuries of human management, rather than naturally occurring as has previously been supposed."
1553,How many coordinating lead authors does an IPCC report chapter have?,"A chapter typically has two ""coordinating lead authors"", ten to fifteen ""lead authors"", and a somewhat larger number of ""contributing authors""."
970,How many full time teachers does Victoria have?,"Victoria has about 63,519 full-time teachers."
4370,What did Martin Luther's marriage allow?,"His marriage to Katharina von Bora set a model for the practice of clerical marriage, allowing Protestant clergy to marry."
3111,When did General Hospital begin airing?,"ABC also broadcasts the morning news program Good Morning America and has done so since 1975, though that program is not considered to be part of the ABC Daytime block."
3538,When were the elections that produced a higher vote by Protestant Nazi sympathizers than by Catholics?,"Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany."
4761,When did the practice of wiping tapes stop?,"In 1972, almost all episodes then made were known to exist at the BBC, while by 1978 the practice of wiping tapes and destroying ""spare"" film copies had been brought to a stop."
4869,"Who intercepted a Manning pass, giving the ball back to the Panthers?",The Panthers could not gain any yards with their possession and had to punt.
5457,How many central conferences are outside of the United States?,Subordinate to the General Conference are the jurisdictional and central conferences which also meet every four years.
4186,What did the second stage in the Saturn V end up doing?,The three-stage Saturn V was designed to send a fully fueled CSM and LM to the Moon.
3770,"Unlike confirmation and profession of faith, what is a sacrament in the UMC?","Unlike confirmation and profession of faith, Baptism is a sacrament in the UMC."
5419,What are the principal cash crops in Kenya?,Horticultural produce and tea are the main growth sectors and the two most valuable of all of Kenya's exports.
761,"What has given the American economy a tendency to go ""from bubble to bubble""?","This has given the American economy a tendency to go ""from bubble to bubble"" fueled by unsustainable monetary stimulation."
4565,What practice do some internet pharmacies engage in?,"Many customers order drugs from such pharmacies to avoid the ""inconvenience"" of visiting a doctor or to obtain medications which their doctors were unwilling to prescribe."
5282,Who is the Costa Rican President that went to Harvard?,"Politics: U.N. Secretary General Ban Ki-moon; American political leaders John Hancock, John Adams, John Quincy Adams, Rutherford B. Hayes, Theodore Roosevelt, Franklin D. Roosevelt, John F. Kennedy, Al Gore, George W. Bush and Barack Obama; Chilean President Sebastián Piñera; Colombian President Juan Manuel Santos; Costa Rican President José María Figueres; Mexican Presidents Felipe Calderón, Carlos Salinas de Gortari and Miguel de la Madrid; Mongolian President Tsakhiagiin Elbegdorj; Peruvian President Alejandro Toledo; Taiwanese President Ma Ying-jeou; Canadian Governor General David Lloyd Johnston; Indian Member of Parliament Jayant Sinha; Albanian Prime Minister Fan S. Noli; Canadian Prime Ministers Mackenzie King and Pierre Trudeau; Greek Prime Minister Antonis Samaras; Israeli Prime Minister Benjamin Netanyahu; former Pakistani Prime Minister Benazir Bhutto; U. S. Secretary of Housing and Urban Development Shaun Donovan; Canadian political leader Michael Ignatieff; Pakistani Members of Provincial Assembly Murtaza Bhutto and Sanam Bhutto; Bangladesh Minister of Finance Abul Maal Abdul Muhith; President of Puntland"
